Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Runs,Max Temp
Treadmill Running,5/3/19,Treadmill Running,1.30,103,0:11:12,158,185,2.3,156,174,8:38,6:50,0,0,1.17,0,0,0,0,0,0:00,0:00,77,0:00,No,04:02.7,2.00,0
Treadmill Running,5/6/19,Treadmill Running,1.16,71,08:54.2,139,154,1.6,164,176,7:42,6:51,0,0,1.27,0,0,0,0,0,0:00,0:00,77,0:00,No,01:37.7,2.00,0
Running,5/15/19,Chicago Running,2.00,135,0:16:40,142,159,2.2,172,199,8:19,5:22,0,23,1.13,0,0,0,0,0,0:00,0:00,68,0:00,No,00:01.1,3.00,0
Running,5/15/19,Chicago Running,1.01,80,08:49.4,152,164,2.1,167,182,8:46,7:49,10,16,1.1,0,0,0,0,0,0:00,0:00,73.4,0:00,No,00:03.6,2.00,0
Treadmill Running,5/16/19,Treadmill Running,1.01,73,07:58.7,155,162,2.1,171,176,7:53,6:56,0,0,1.19,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:04.9,2.00,0
Running,5/23/19,Chicago Running,3.41,331,0:28:48,185,208,5,172,190,8:26,4:50,33,46,1.11,0,0,0,0,0,0:00,0:00,80.6,0:00,No,03:13.5,4.00,0
Treadmill Running,6/7/19,Treadmill Running,2.01,139,0:19:20,145,163,2.1,148,174,9:37,6:57,0,0,1.12,0,0,0,0,0,0:00,0:00,73.4,0:00,No,00:28.3,3.00,0
Treadmill Running,6/9/19,Treadmill Running,1.26,107,0:12:00,169,189,2.5,150,174,9:30,6:59,0,0,1.1,0,0,0,0,0,0:00,0:00,77,0:00,No,04:07.8,2.00,0
Running,6/11/19,Chicago Running,3.01,242,0:24:59,177,199,3.8,171,182,8:17,6:51,16,33,1.14,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:06.9,4.00,0
Running,6/12/19,Chicago Running,5.00,385,0:44:09,164,199,3.4,172,184,8:49,7:33,33,66,1.06,0,0,0,0,0,0:00,0:00,78.8,0:00,No,00:01.9,6.00,0
Treadmill Running,6/13/19,Treadmill Running,2.01,138,0:17:02,156,181,2.6,168,175,8:28,7:32,0,0,1.14,0,0,0,0,0,0:00,0:00,77,0:00,No,00:06.7,3.00,0
Treadmill Running,6/13/19,Treadmill Running,0.55,54,08:13.2,137,171,0.9,128,134,14:49,12:37,0,0,0.85,0,0,0,0,0,0:00,0:00,77,0:00,No,04:04.7,2.00,0
Running,6/15/19,Chicago Running,2.01,167,0:16:48,181,198,3.3,173,184,8:22,7:28,3,20,1.11,0,0,0,0,0,0:00,0:00,75.2,0:00,No,00:03.8,3.00,0
